StratumID,TransitionGroupID,StateClassID,Amount
Bedrock and Colluvium,Shrub in-filling [Type],Low Shrub:All,0.009233735971666185
Bottomland,Shrub in-filling [Type],Low Shrub:All,0.002227840460934806
Gravelly and Calcic,Shrub in-filling [Type],Low Shrub:All,0.0055141419224902545
Gypsic,Shrub in-filling [Type],Low Shrub:All,9.144198497428122e-4
Loamy-Clayey,Shrub in-filling [Type],Low Shrub:All,0.0010220004751765217
Sandy and Deep Sand,Shrub in-filling [Type],Low Shrub:All,0.004912501264591184
Bedrock and Colluvium,Shrub decline [Type],Shrubland:All,0.05688258388969806
Bedrock and Colluvium,Shrub loss [Type],Low Shrub:All,0.003912115260687874
Bottomland,Shrub decline [Type],Shrubland:All,0.16368231983787584
Bottomland,Shrub loss [Type],Low Shrub:All,0.010225969006800768
Gravelly and Calcic,Shrub decline [Type],Shrubland:All,0.08276525327774133
Gravelly and Calcic,Shrub loss [Type],Low Shrub:All,0.004037101320957487
Gypsic,Shrub decline [Type],Shrubland:All,0.1586500307216125
Gypsic,Shrub loss [Type],Low Shrub:All,0.01514909201809866
Loamy-Clayey,Shrub decline [Type],Shrubland:All,0.13845116771715188
Loamy-Clayey,Shrub loss [Type],Low Shrub:All,0.011594958325573553
Sandy and Deep Sand,Shrub decline [Type],Shrubland:All,0.11329014840010808
Sandy and Deep Sand,Shrub loss [Type],Low Shrub:All,0.006278894605228869
